828e-9,1502e-9,767e-9,1759e-9,2259e-9,4088e-9
1122e-9,1374e-9,3617e-9,2769e-9,6221e-9,1479e-8
6274e-9,6701e-9,6841e-9,263e-8,6285e-9,33442e-9
11913e-9,7322e-9,8337e-9,3257e-9,8697e-9,65736e-9
62654e-9,67215e-9,98458e-9,5093e-9,43864e-9,548794e-9
351949e-9,274038e-9,397225e-9,11007e-9,6395e-8,0.001484637
0.001380029,0.001067694,0.002022432,44464e-9,200576e-9,0.004797842
0.003119472,721788e-9,0.003981281,104938e-9,421266e-9,0.011414509
0.005790435,0.002171015,0.016671726,308125e-9,0.001169625,0.036729422
0.013721056,0.005356473,0.055444413,688189e-9,0.002743192,0.103701247
0.013448619,0.006414461,0.065877251,662901e-9,0.0027964,0.117135237
0.087000624,0.03930657,0.404170483,0.001885782,0.011780344,0.495800016
0.125263291,0.103765074,1.208580532,0.010911961,0.026359507,1.049262004
0.228337464,0.22250443,2.812038406,0.019677119,0.071155355,1.619031215
